id,location,size
PAN-001612032,Bhatinda,5.5
PAN-05031971,Indore,1.85
PAN-0284283,Mumbai,1.5
PAN-14111990,Kota,1.5
PAN-18121958,Jammu,13.27
PAN-71381187,Rajkot,13.81
PAN-19101992,Agartala,1.5
PAN-31121991,Warangal,7.05
PAN-30673690,Kochi,1.5
PAN-03111990,Nagpur,1.5
PAN-30673703,Ahmedabad,2.48
PAN-283632,Pune,4.14
PAN-08121990,Nasik,1.5
PAN-8664823,Chennai,1.5
PAN-0637446666,Panaji,2.82
PAN-30673708,Guwahati,4.43
PAN-24061987,Ranchi,1.5
PAN-30673693,Aizwal,1.5
PAN-30673692,Shillong,2.12
PAN-26101989,Dimapur,1.85
PAN-657546432,Amritsar,4.54
PAN-145555551,Visakhapatnam,7.14
PAN-30673697,Gangtok,4.73
PAN-516965,Asansol,3.61
PAN-88888888,Hyderabad,3.36
PAN-30673705,Delhi,1.24
PAN-849298,Kolkata,1.9
PAN-13581139,Lakshdweep,1.45
PAN-0173712,Delhi,5.89
PAN-953990,Mumbai,3.01
PAN-30673707,Patna,4.19
PAN-001672661,Madurai,6.19
PAN-9773700,Mumbai,3.15
PAN-748457543,Jamshedpur,5.15
PAN-804877661,Srinagar,6.99
PAN-10611411,Bhubaneswar,4
PAN-394743,Baharanpur,2.3
PAN-10009831,Surat,1.5
PAN-7011153,Kochi,1.5
PAN-01926673,Mumbai,2.98
PAN-768457543,Daman & Diu,5.39
PAN-30673706,Bengaluru,2.22
PAN-29061990281,Kota,1.5
PAN-00000012,Agra,1.5
PAN-000000029,Bengaluru,3.01
